rank,observation,evidence,interpretation,implication_for_clustering,implication_for_augmentation
1,Profile mają bardzo różne długości.,Stosunek longest/shortest = 20.2x; skew = 0.65.,Każdy profil jest niezależnym eksperymentem o innej długości.,Nie porównuj surowych profili bezpośrednio odległością euklidesową.,"Augmentuj segmenty o stałej długości, a nie całe profile."
2,Kilka stref operacyjnych dominuje w danych.,Najczęstszy stan: low-speed mid-load (15.1% czasu).,Maszyna nie odwiedza przestrzeni pracy równomiernie.,Naturalne reżimy są prawdopodobne.,Augmentacja powinna densyfikować rzadkie regiony.
3,i_q jest silnie powiązane z momentem.,"Pearson(i_q, torque) = 1.00.",Prąd osi q i moment są blisko redundantne.,Nie pozwól obu zmiennym dominować nad przestrzenią cech.,Sprzężenie i_q↔torque musi zostać zachowane.
4,i_d śledzi obszar osłabiania pola.,"Pearson(i_d, motor_speed) = -0.70.",i_d jest użytecznym markerem reżimu wysokiej prędkości.,Wybrane kanały elektryczne mogą uzupełniać speed/torque.,Zachowaj zależność i_d–speed.
5,Napięcie rośnie wraz z prędkością.,"Pearson(u_q, motor_speed) = 0.68.",Napięcia częściowo duplikują informację o prędkości.,Można użyć zwartego podzbioru kanałów elektrycznych.,Napięcia powinny być regenerowane warunkowo względem prędkości.
6,Temperatury są silnie wzajemnie skorelowane.,Średnia korelacja pomiędzy kanałami temperatur = 0.86.,Cztery kanały termiczne niosą dużo wspólnej informacji.,Nie używaj wszystkich temperatur jako niezależnych cech klasteryzacji.,Temperatury powinny być generowane jako sprzężony blok.
7,Temperatury są opóźnione względem punktu pracy.,Maksymalny estymowany lag = 289 s.,Stan termiczny jest opóźnioną całką historii obciążenia.,"Temperatura powinna walidować klastry, nie je definiować.",Nigdy nie perturbuj temperatury niezależnie od historii pracy.
8,Speed i torque są tylko umiarkowanie sprzężone.,"Pearson(speed, torque) = -0.04.",Obie osie są potrzebne do pełnego opisu punktu pracy.,Przestrzeń 2D speed–torque pozostaje kluczową reprezentacją.,Augmentacja powinna zachowywać obwiednię speed–torque.
9,Przestrzeń profili jest niskowymiarowa.,PC1+PC2 wyjaśniają 49.0% wariancji.,Kilka czynników latentnych może opisywać całe sesje.,Klasteryzacja profili może być użyteczna jako sanity check.,Modele generatywne powinny respektować niskowymiarową strukturę.
10,Przestrzeń pracy jest pokryta tylko częściowo.,Pokrycie speed–torque = 67.4% komórek siatki.,Duże obszary przestrzeni operacyjnej nie występują w danych.,Metody gęstościowe mogą być użyteczne do detekcji rzadkich regionów.,"Nie generuj syntetycznych próbek w pustych, nieobserwowanych regionach."
11,Segmenty przejściowe i stabilne współistnieją.,Najbardziej dynamiczny profil: 29; najmniej dynamiczny: 7.,"Niektóre przebiegi są kształtowe, inne prawie stałe.",Warto porównać Euclidean z DTW/k-Shape.,Time warping jest sensowny głównie dla reżimów przejściowych.
12,Rekomendowana długość segmentu wynika z danych.,Najlepszy segment wg separability ratio = 60 s.,"Zbyt krótkie okna są hałaśliwe, zbyt długie mieszają reżimy.",Użyj rekomendowanej długości jako domyślnej w klasteryzacji.,Augmentuj na tej samej długości segmentu.
13,Coolant jest wolnym warunkiem brzegowym.,Zmienność chłodziwa jest niska względem driverów.,Może grupować profile według konfiguracji testu zamiast zachowania maszyny.,"Traktuj coolant jako kontekst, nie obowiązkowy driver.",Zachowaj offset chłodziwa przy regeneracji temperatur.
14,Ambient ma niewielką dynamikę wewnątrz profilu.,Zmienność ambient jest zwykle mniejsza niż sygnałów operacyjnych.,To wolny warunek brzegowy.,Nie powinien dominować przestrzeni klasteryzacji.,Utrzymuj go stałego lub prawie stałego w obrębie syntetycznego profilu.
15,Kanały prądowe są bardzo dynamiczne.,Najbardziej dynamiczny kanał elektryczny: i_q.,Prądy szybko reagują na zmianę obciążenia.,Mogą pomagać rozróżniać reżimy przejściowe.,Zachowaj charakterystyczną dynamikę krokową prądów.
16,Braki i wartości nieskończone powinny być nieobecne.,"Braki sensorów: 0, infinities: 0.",Dane są gotowe do modelowania tylko po przejściu audytu jakości.,Waliduj dane przed klasteryzacją.,Dane syntetyczne również nie mogą zawierać artefaktów imputacji.
17,profile_id jest granicą niezależnej serii.,Liczba profili = 69.,Każda sesja jest niezależnym eksperymentem.,Segmenty nigdy nie powinny przekraczać granicy profilu.,Próbki syntetyczne również powinny należeć do pojedynczego reżimu/profilu.
18,Kanały termiczne zawierają prawdziwe ekstremalne zdarzenia.,Rozkłady temperatur mogą być skośne i zawierać IQR outliers.,Nie każdy outlier jest błędem — może oznaczać rzadkie przegrzanie.,Nie przycinaj temperatur przed analizą.,"Rzadkie wysokie temperatury powinny być zachowane, jeśli są fizycznie wiarygodne."
19,Kanały elektryczne są częściowo redundantne względem speed/torque.,Silne korelacje z driverami są widoczne w correlation_analysis.csv.,Zwięzły podzbiór może klasteryzować równie dobrze jak wszystkie kanały.,Porównaj pełny i zredukowany zestaw cech.,Redundantne kanały mogą być regenerowane z punktu pracy.
20,Rotor pm zachowuje się inaczej niż stator.,pm i stator_winding mają różne dynamiki i lags.,Temperatura wirnika ma własną odpowiedź dynamiczną.,Nie należy zakładać identycznej odpowiedzi wszystkich temperatur.,Generuj pm z osobną dynamiką/opóźnieniem.
